,0
clubId,4606176
bestDivision,3
bestFinishGroup,6
finishesInDivision1Group1,0
finishesInDivision2Group1,0
finishesInDivision3Group1,0
finishesInDivision4Group1,0
finishesInDivision5Group1,0
finishesInDivision6Group1,0
gamesPlayed,98
gamesPlayedPlayoff,15
goals,240
goalsAgainst,238
promotions,5
relegations,0
losses,37
ties,16
wins,45
lastMatch0,1
lastMatch1,1
lastMatch2,1
lastMatch3,1
lastMatch4,2
lastMatch5,-1
lastMatch6,-1
lastMatch7,-1
lastMatch8,-1
lastMatch9,-1
lastOpponent0,4034714
lastOpponent1,4275500
lastOpponent2,4836139
lastOpponent3,4012855
lastOpponent4,4896785
lastOpponent5,4963452
lastOpponent6,1555900
lastOpponent7,4905969
lastOpponent8,4731861
lastOpponent9,3612420
wstreak,4
unbeatenstreak,4
skillRating,1727
reputationtier,1
leagueAppearances,83
