name,proPos,gamesPlayed,goals,assists,manOfTheMatch,ratingAve,prevGoals,favoritePosition
Mohalek,18,78,19,47,3,7.9,0,midfielder
Leonardovargas0,22,7,4,5,1,8.4,0,forward
FabioSCeleste,5,64,4,3,0,6.9,0,defender
teusmas,12,98,44,80,12,8.2,2,midfielder
CledsTiago,25,11,3,5,1,7.7,0,forward
iscowagner,25,101,152,39,46,8.8,1,forward
YuriFreiitas,25,16,6,9,1,7.3,0,forward
