,0
clubId,4606176
bestDivision,3
bestFinishGroup,6
finishesInDivision1Group1,0
finishesInDivision2Group1,0
finishesInDivision3Group1,0
finishesInDivision4Group1,0
finishesInDivision5Group1,0
finishesInDivision6Group1,0
gamesPlayed,105
gamesPlayedPlayoff,15
goals,255
goalsAgainst,252
promotions,5
relegations,0
losses,39
ties,18
wins,48
lastMatch0,1
lastMatch1,3
lastMatch2,1
lastMatch3,2
lastMatch4,2
lastMatch5,-1
lastMatch6,-1
lastMatch7,-1
lastMatch8,-1
lastMatch9,-1
lastOpponent0,4608659
lastOpponent1,4427581
lastOpponent2,3869979
lastOpponent3,3623134
lastOpponent4,4337368
lastOpponent5,2544276
lastOpponent6,4034714
lastOpponent7,4275500
lastOpponent8,4836139
lastOpponent9,4012855
wstreak,1
unbeatenstreak,3
skillRating,1738
reputationtier,1
leagueAppearances,90
