name,proPos,gamesPlayed,goals,assists,manOfTheMatch,ratingAve,prevGoals,favoritePosition
Mohalek,18,55,12,33,1,8.0,0,midfielder
Leonardovargas0,22,7,4,5,1,8.4,0,forward
FabioSCeleste,5,41,3,2,0,7.0,0,defender
teusmas,23,71,27,51,6,8.1,1,forward
CledsTiago,25,11,3,5,1,7.7,0,forward
iscowagner,25,74,109,27,32,8.8,2,forward
