name,proPos,gamesPlayed,goals,assists,manOfTheMatch,ratingAve,prevGoals,favoritePosition
Mohalek,18,70,19,47,3,8.0,0,midfielder
Leonardovargas0,22,7,4,5,1,8.4,0,forward
FabioSCeleste,5,52,4,2,0,7.0,0,defender
teusmas,12,86,36,70,9,8.2,0,midfielder
CledsTiago,25,11,3,5,1,7.7,0,forward
iscowagner,25,89,136,32,41,8.8,2,forward
