name,proPos,gamesPlayed,goals,assists,manOfTheMatch,ratingAve,prevGoals,favoritePosition
Mohalek,18,74,19,47,3,8.0,0,midfielder
Leonardovargas0,22,7,4,5,1,8.4,0,forward
FabioSCeleste,5,58,4,3,0,7.0,0,defender
teusmas,18,92,40,74,9,8.2,2,midfielder
CledsTiago,25,11,3,5,1,7.7,0,forward
iscowagner,25,95,145,36,46,8.8,1,forward
YuriFreiitas,25,16,6,9,1,7.3,0,forward
